Model,Price,Spec
"realme 7 Pro (Mirror Blue, 128 GB)","₹19,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 20 (Glory Silver, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Blue, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Purple, 128 GB)","₹12,999",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Blue, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Purple, 64 GB)","₹11,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Purple, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 5 (Crystal Blue, 32 GB)","₹10,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme 6i (Eclipse Black, 64 GB)","₹15,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6i (Lunar White, 64 GB)","₹14,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6i (Lunar White, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6i (Eclipse Black, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT NEO 3 (150W) (Sprint White, 256 GB)","₹42,999",12 GB RAM | 256 GB ROM
"realme 5i (Aqua Blue, 128 GB)","₹11,999",4 GB RAM | 128 GB ROM
"realme 5i (Aqua Blue, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM
"realme 5i (Forest Green, 64 GB)","₹10,999",4 GB RAM | 64 GB ROM
"realme X50 Pro 5G (Rust Red, 256 GB)","₹47,999",12 GB RAM | 256 GB ROM
"realme 5 Pro (Sparkling Blue, 128 GB)","₹17,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Crystal Green, 64 GB)","₹15,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Sparkling Blue, 64 GB)","₹15,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Sparkling Blue, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 5 Pro (Crystal Green, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C2 (Diamond Black, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Sprint White, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM
"realme 8 Pro (Infinite Black, 128 GB)","₹17,999",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Nitro Blue, 256 GB)","₹38,999",8 GB RAM | 256 GB ROM
"realme GT Neo 3 (Sprint White, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM
"realme 8 Pro (Illuminating Yellow, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Asphalt Black, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM
"realme GT 2 Pro (Paper White, 256 GB)","₹57,999",12 GB RAM | 256 GB ROM
"realme GT 2 Pro (Steel Black, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM
"realme GT 2 Pro (Paper Green, 128 GB)","₹49,999",8 GB RAM | 128 GB ROM
"realme GT Neo 3 (Nitro Blue, 128 GB)","₹36,999",8 GB RAM | 128 GB ROM
"realme X (Polar White, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM
"realme X (Space Blue, 128 GB)","₹20,999",8 GB RAM | 128 GB ROM
"realme X (Space Blue, 128 GB)","₹17,999",4 GB RAM | 128 GB ROM
