Model,Price,Spec
"realme 10 Pro+ 5G (Dark Matter, 128 GB)","₹21,999",6 GB RAM | 128 GB ROM
"realme GT 2 (Steel Black, 128 GB)","₹24,999",8 GB RAM | 128 GB ROM
"realme GT 2 (Paper White, 128 GB)","₹24,999",8 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Black, 128 GB)","₹12,599",6 GB RAM | 128 GB ROM
"realme GT 2 (Steel Black, 256 GB)","₹28,999",12 GB RAM | 256 GB ROM
"realme GT 2 (Paper White, 256 GB)","₹28,999",12 GB RAM | 256 GB ROM
"realme Narzo 60 5G (?Cosmic Black, 128 GB)","₹18,777",8 GB RAM | 128 GB ROM
"realme 9i 5G (Soulful Blue, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9i 5G (Soulful Blue, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 60 5G (Mars Orange, 256 GB)","₹20,893",8 GB RAM | 256 GB ROM
"realme Narzo 60 5g (Cosmic Black, 256 GB)","₹20,833",8 GB RAM | 256 GB ROM
"realme 9i 5G (Rocking Black, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme GT NEO 2 (NEO Black, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM
"realme 9i 5G (Rocking Black, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo N53 (Feather Gold, 128 GB)","₹12,727",6 GB RAM | 128 GB ROM
"realme Narzo N53 (Feather Gold, 64 GB)","₹9,929",4 GB RAM | 64 GB ROM
"realme GT NEO 2 (NEO Blue, 256 GB)","₹25,999",12 GB RAM | 256 GB ROM
"realme 9i 5G (Metallica Gold, 128 GB)","₹16,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 9i 5G (Metallica Gold, 64 GB)","₹14,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 60 5G (Mars Orange, 128 GB)","₹18,722",8 GB RAM | 128 GB ROM
"realme C30s (Night Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Mint Green, 32 GB)","₹7,499",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme narzo 50i Prime (Mint Green, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM
"realme Narzo N53 (Feather Gold, 64 GB)","₹10,837",4 GB RAM | 64 GB ROM
"realme C30s (Stripe Blue, 32 GB)","₹6,999",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C30s (Stripe Black, 32 GB)","₹6,999",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme Narzo 50i Prime (Dark Blue, 32 GB)","₹8,499",3 GB RAM | 32 GB ROM
"realme Narzo 50i Prime (Dark Blue, 32 GB)","₹7,989",3 GB RAM | 32 GB ROM
"realme C30s (Stripe - Black, 32 GB)","₹7,299",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme C30s (Royal Blue, 32 GB)","₹7,299",2 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme Narzo 50 (Speed Blue, 128 GB)","₹14,675",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50 (Speed Black, 128 GB)","₹14,579",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme C30s (Stripe Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme Narzo 60 Pro 5G (Mars orange, 128 GB)","₹24,157",8 GB RAM | 128 GB ROM
"realme XT (Pearl White, 64 GB)","₹16,799",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C25s (Watery Blue, 64 GB)","₹10,998",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme XT (Pearl White, 64 GB)","₹16,799",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme C25s (Watery Blue, 64 GB)","₹10,998",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme Narzo 50i (Carbon Black, 32 GB)","₹7,099",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme C33 (Night Sea, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme C33 (Aqua Blue, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
"realme C33 (Night Sea, 32 GB)","₹8,999",3 GB RAM | 32 GB ROM | Expandable Upto 1 TB
